cpu usage (%)	total memory	available memory	used memory	memory usage (%)
5.7	16471457792	8858820608	5910659072	46.2
51.7	16471457792	7387459584	7362207744	55.1
15.3	16471457792	7430180864	7344762880	54.9
9.4	16471457792	7453331456	7321567232	54.8
9.8	16471457792	7450128384	7329136640	54.8
9.4	16471457792	7460085760	7319252992	54.7
9.0	16471457792	7468199936	7327309824	54.7
5.0	16471457792	7466782720	7333773312	54.7
14.8	16471457792	8828698624	5982326784	46.4
